Rk,Name,Tm,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Pos,FantPt,VBD,PosRank,OvRank
94,Jake Locker,TEN,24,11,11,177,314,2176,10,11,41,291,7.10,1,1,0,0,,0,QB,132,,28,
95,Alex Smith,SFO,28,10,9,153,218,1737,13,5,31,132,4.26,0,0,0,0,,0,QB,123,,29,
96,Mark Sanchez,NYJ,26,15,15,246,453,2883,13,18,22,28,1.27,0,0,0,0,,0,QB,118,,30,
97,Sidney Rice,SEA,26,16,16,1,2,25,0,0,2,6,3.00,0,82,50,748,14.96,7,WR,118,,30,
98,Danny Woodhead,NWE,27,16,2,0,0,0,0,0,76,301,3.96,4,55,40,446,11.15,3,RB,117,,25,
99,Golden Tate,SEA,24,15,15,1,1,23,1,0,3,20,6.67,0,68,45,688,15.29,7,WR,116,,31,
100,Denarius Moore,OAK,24,15,15,0,0,0,0,0,1,-5,-5.00,0,114,51,741,14.53,7,WR,116,,32,
101,Brandon Lloyd,NWE,31,16,15,0,0,0,0,0,0,0,,0,131,74,911,12.31,4,WR,115,,33,
102,Vick Ballard,IND,22,16,12,0,0,0,0,0,211,814,3.86,2,27,17,152,8.94,1,RB,115,,26,
103,Willis McGahee,DEN,31,10,9,0,0,0,0,0,167,731,4.38,4,33,26,221,8.50,0,RB,113,,27,
104,Chad Henne,JAX,27,10,6,166,308,2084,11,11,19,64,3.37,1,0,1,-6,-6.00,0,QB,113,,31,
105,Brian Hartline,MIA,26,16,15,0,0,0,0,0,0,0,,0,131,74,1083,14.64,1,WR,112,,34,
106,DeMarco Murray,DAL,24,10,10,0,0,0,0,0,161,663,4.12,4,42,34,247,7.26,0,RB,111,,28,
107,Darren McFadden,OAK,25,12,12,0,0,0,0,0,216,707,3.27,2,63,42,258,6.14,1,RB,111,,29,
108,Malcom Floyd,SDG,31,14,14,0,0,0,0,0,0,0,,0,85,56,814,14.54,5,WR,111,,35,
109,Andre Roberts,ARI,24,15,15,0,0,0,0,0,4,29,7.25,0,114,64,759,11.86,5,WR,109,,36,
110,Josh Gordon,CLE,21,16,13,0,0,0,0,0,0,0,,0,96,50,805,16.10,5,WR,109,,37,
111,Danario Alexander,SDG,26,10,6,0,1,0,0,0,0,0,,0,62,37,658,17.78,7,WR,108,,38,
112,Antonio Brown,PIT,24,13,10,0,2,0,0,1,7,24,3.43,0,106,66,787,11.92,5,WR,105,,39,
113,Santana Moss,WAS,33,16,1,0,0,0,0,0,3,14,4.67,0,62,41,573,13.98,8,WR,105,,40,
114,Larry Fitzgerald*,ARI,29,16,16,0,0,0,0,0,0,0,,0,156,71,798,11.24,4,WR,104,,41,
115,Joique Bell,DET,26,16,0,0,0,0,0,0,82,414,5.05,3,68,52,485,9.33,0,RB,104,,30,
116,Brandon Gibson,STL,25,16,13,0,0,0,0,0,0,0,,0,82,51,691,13.55,5,WR,99,,43,
117,Percy Harvin,MIN,24,9,8,0,0,0,0,0,22,96,4.36,1,85,62,677,10.92,3,WR,99,,42,
118,Nate Washington,TEN,29,16,14,0,0,0,0,0,0,0,,0,89,46,746,16.22,4,WR,99,,44,
